objectid,filename,youtubeid,title,creator,date,more_date_info,description,subject,location,latitude,longitude,source,identifier,type,format,physicaldescription,language,rights,rightsstatement,additionalnote,Relation,Rights,keywords,notes,collectionset,collection,private,downloadable
photo_arndtg_011,photo_arndtg_011.jpg,,Series of self portraits [1] Probstzella,"Arndt, Gertrud (German photographer and weaver, 1903-2000)",1929,1929,Contemporary enlargement,Bauhaus Dessau; Photography Germany,"Bauhaus-Archive/Museum of Design, Berlin, Germany",19.432608,-99.133209,"Eigentlich wollte ich ja Architektin werden. Gertrud Arndt al Weberin und Photographin am Bauhaus, 1923-31, pl.114",,,image/jpeg,"silver gelatin print, 8.9x6.9cm.",,,,,,no,self portrait; necklace,,AHVA Painting,General Painting,yes,yes
photo_arndtg_012,photo_arndtg_012.jpg,,Series of self portraits [2] Probstzella,"Arndt, Gertrud (German photographer and weaver, 1903-2000)",1929,1929,Contemporary enlargement,Bauhaus Dessau; Photography Germany,"Bauhaus-Archive/Museum of Design, Berlin, Germany",53.958332,-1.080278,"Eigentlich wollte ich ja Architektin werden. Gertrud Arndt al Weberin und Photographin am Bauhaus, 1923-31, pl.115",,,image/jpeg,"silver gelatin print, 8.9x6.9cm.",,,,,,no,self portrait; necklace,,AHVA Painting,General Painting,yes,yes
photo_arndtg_013,photo_arndtg_013.jpg,,Series of self portraits [3] Probstzella,"Arndt, Gertrud (German photographer and weaver, 1903-2000)",1929,1929,Contemporary enlargement,Bauhaus Dessau; Photography Germany,"Bauhaus-Archive/Museum of Design, Berlin, Germany",41.76371,-72.685097,"Eigentlich wollte ich ja Architektin werden. Gertrud Arndt al Weberin und Photographin am Bauhaus, 1923-31, pl.116",,,image/jpeg,"silver gelatin print, 8.9x6.9cm.",,,,,,no,self portrait; necklace,,AHVA Painting,General Painting,yes,yes
photo_arndtg_014,photo_arndtg_014.jpg,,Self portraits [1] Gertrud Arndt,"Arndt, Gertrud (German photographer and weaver, 1903-2000)",1929,1929,Contemporary enlargement,Bauhaus Dessau; Photography Germany,"Bauhaus-Archive/Museum of Design, Berlin, Germany",,,"Eigentlich wollte ich ja Architektin werden. Gertrud Arndt al Weberin und Photographin am Bauhaus, 1923-31, pl.117",,,image/jpeg,"silver gelatin print, 6x9cm.",,,,,,,self portrait,,,,,
photo_arndtg_015,photo_arndtg_015.jpg,,Self portraits [2] Gertrud Arndt,"Arndt, Gertrud (German photographer and weaver, 1903-2000)",1929,1929,Contemporary enlargement was done by Alexa Bormann-Arndt in 1980.,Bauhaus Dessau; Photography Germany,"Bauhaus-Archive/Museum of Design, Berlin, Germany",,,"Eigentlich wollte ich ja Architektin werden. Gertrud Arndt al Weberin und Photographin am Bauhaus, 1923-31, pl.118",,,image/jpeg,"silver gelatin print, 24x17.7cm.",,,,,,,self portrait; necklace; stripes,,,,,
photo_arndtg_016,photo_arndtg_016.jpg,,"Self portrait sitting, Probstzella","Arndt, Gertrud (German photographer and weaver, 1903-2000)",1929,1929,Contemporary enlargement was done by Markus Lawlik in 2012.,Bauhaus Dessau; Photography Germany,"Bauhaus-Archive/Museum of Design, Berlin, Germany",,,"Eigentlich wollte ich ja Architektin werden. Gertrud Arndt al Weberin und Photographin am Bauhaus, 1923-31, pl.119",,,image/jpeg,"silver gelatin print, 17x23.1cm.",,,,,,,sitting; pleats; self portrait,,,,,
photo_arndtg_017,photo_arndtg_017.jpg,,Glaser 2,"Arndt, Gertrud (German photographer and weaver, 1903-2000)",1929-1930,1929-30,Contemporary enlargement was done by Alexa Bormann-Arndt in 1980.,Bauhaus Dessau; Photography Germany,"Bauhaus-Archive/Museum of Design, Berlin, Germany",,,"Eigentlich wollte ich ja Architektin werden. Gertrud Arndt al Weberin und Photographin am Bauhaus, 1923-31, pl.120",,,image/jpeg,"silver gelatin print, 24.8x18.7cm.",,,,,,,glasses,,,,,
photo_arndtg_018,photo_arndtg_018.jpg,,Glaser 1,"Arndt, Gertrud (German photographer and weaver, 1903-2000)",1929-1930,1929-30,Contemporary enlargement was done by Alexa Bormann-Arndt in 1980.,Bauhaus Dessau; Photography Germany,"Bauhaus-Archive/Museum of Design, Berlin, Germany",,,"Eigentlich wollte ich ja Architektin werden. Gertrud Arndt al Weberin und Photographin am Bauhaus, 1923-31, pl.121",,,image/jpeg,"silver gelatin print, 24.8x18.6cm.",,,,,,,glasses,,,,,
photo_arndtg_019,photo_arndtg_019.jpg,,"The Bauhaus workshop for painting Meisterhauser, Dessau [1]","Arndt, Gertrud (German photographer and weaver, 1903-2000)",1929,1929,Contemporary enlargement was done by Alexa Bormann-Arndt in 1980.,Bauhaus Dessau; Photography Germany,"Bauhaus-Archive/Museum of Design, Berlin, Germany",,,"Eigentlich wollte ich ja Architektin werden. Gertrud Arndt al Weberin und Photographin am Bauhaus, 1923-31, pl.122",,,image/jpeg,"silver gelatin print, 23.8x17.9cm.",,,,,,,painting; building; ladders,,,,,
photo_arndtg_020,photo_arndtg_020.jpg,,"The Bauhaus workshop for painting Meisterhauser, Dessau [2]","Arndt, Gertrud (German photographer and weaver, 1903-2000)",1929,1929,Contemporary enlargement was done by Alexa Bormann-Arndt in 1980.,Bauhaus Dessau; Photography Germany,"Bauhaus-Archive/Museum of Design, Berlin, Germany",,,"Eigentlich wollte ich ja Architektin werden. Gertrud Arndt al Weberin und Photographin am Bauhaus, 1923-31, pl.123",,,image/jpeg,"silver gelatin print, 23.8x17.9cm.",,,,,,,painting; building; ladders,,,,,
photo_arndtg_021,photo_arndtg_021.jpg,,Portrait of Wera Meyer-Waldeck [1],"Arndt, Gertrud (German photographer and weaver, 1903-2000)",1930,1930,Contemporary enlargement was done by Markus Lawlik in 2012.,Bauhaus Dessau; Photography Germany,"Bauhaus-Archive/Museum of Design, Berlin, Germany",,,"Eigentlich wollte ich ja Architektin werden. Gertrud Arndt al Weberin und Photographin am Bauhaus, 1923-31, pl.124",,,image/jpeg,"silver gelatin print, 22.3x16.3cm.",,,,,,,portrait; smiling,,,,,
photo_arndtg_022,photo_arndtg_022.jpg,,Portrait of Wera Meyer-Waldeck [2],"Arndt, Gertrud (German photographer and weaver, 1903-2000)",1930,1930,This enlargement was done by Markus Lawlik in 2012.,Bauhaus Dessau; Photography Germany,"Bauhaus-Archive/Museum of Design, Berlin, Germany",,,"Eigentlich wollte ich ja Architektin werden. Gertrud Arndt al Weberin und Photographin am Bauhaus, 1923-31, pl.125",,,image/jpeg,"silver gelatin print, 22.3x16.3cm.",,,,,,,portrait; smiling; negative,,,,,
photo_arndtg_023,photo_arndtg_023.jpg,,Portrait of Wera Meyer-Waldeck [3],"Arndt, Gertrud (German photographer and weaver, 1903-2000)",1930,1930,This enlargement was done by Markus Lawlik in 2012.,Bauhaus Dessau; Photography Germany,"Bauhaus-Archive/Museum of Design, Berlin, Germany",,,"Eigentlich wollte ich ja Architektin werden. Gertrud Arndt al Weberin und Photographin am Bauhaus, 1923-31, pl.126",,,image/jpeg,"silver gelatin print, 22.3x16.3cm.",,,,,,,portrait,,,,,
photo_arndtg_024,photo_arndtg_024.jpg,,Portrait of Wera Meyer-Waldeck [4],"Arndt, Gertrud (German photographer and weaver, 1903-2000)",1930,1930,Contemporary enlargement,Bauhaus Dessau; Photography Germany,"Bauhaus-Archive/Museum of Design, Berlin, Germany",,,"Eigentlich wollte ich ja Architektin werden. Gertrud Arndt al Weberin und Photographin am Bauhaus, 1923-31, pl.127",,,image/jpeg,"silver gelatin print, 17.9x23.9cm",,,,,,,portrait; negative; closed eyes,,,,,
